tiempo,variable 1,Setpoint,variable 2,perturbacion,
59.60591133,0.984989713,2,1.015010287,0,
60.09852217,0.987988006,2,1.012011994,0,
60.591133,0.989496413,2,2.010503587,1,
61.08374384,1.038862253,2,1.961137747,1,
61.57635468,1.15431956,2,1.84568044,1,
62.06896552,1.305631455,2,1.694368545,1,
62.56157635,1.383441841,2,1.616558159,1,
63.05418719,1.371775131,2,1.628224869,1,
63.54679803,1.313307165,2,1.686692835,1,
64.03940887,1.267929575,2,1.732070425,1,
64.5320197,1.282056868,2,1.717943132,1,
65.02463054,1.335984214,2,1.664015786,1,
65.51724138,1.396354709,2,1.603645291,1,
66.00985222,1.411977251,2,1.588022749,1,
66.50246305,1.402811755,2,0.597188245,0,
66.99507389,1.330887493,2,0.669112507,0,
67.48768473,1.193128848,2,0.806871152,0,
67.98029557,1.061984913,2,0.938015087,0,
68.4729064,1.02041681,2,0.97958319,0,
68.96551724,1.056589723,2,0.943410277,0,
69.45812808,1.131187204,2,0.868812796,0,
69.95073892,1.171691362,2,0.828308638,0,
70.44334975,1.150444679,2,0.849555321,0,
70.93596059,1.094501309,2,0.905498691,0,
71.42857143,1.04550188,2,0.95449812,0,
71.92118227,1.042502977,2,0.957497023,0,
72.4137931,1.056959167,2,0.943040833,0,
72.90640394,1.056959167,1,-0.056959167,0,
73.39901478,1.056959167,1,-0.056959167,0,
73.89162562,1.022659879,1,-0.022659879,0,
74.38423645,0.913278414,1,0.086721586,0,
74.87684729,0.754835713,1,0.245164287,0,
75.36945813,0.662186168,1,0.337813832,0,
75.86206897,0.660164902,1,0.339835098,0,
76.3546798,0.710095641,1,0.289904359,0,
76.84729064,0.758259139,1,0.241740861,0,
77.33990148,0.747382286,1,0.252617714,0,
77.83251232,0.694446793,1,0.305553207,0,
78.32512315,0.628832663,1,0.371167337,0,
78.81773399,0.608254161,1,0.391745839,0,
79.31034483,0.613848501,1,1.386151499,1,
79.80295567,0.684128044,1,1.315871956,1,
80.2955665,0.822010487,1,1.177989513,1,
80.78817734,0.955711734,1,1.044288266,1,
81.28078818,0.996303078,1,1.003696922,1,
81.77339901,0.957715658,1,1.042284342,1,
82.26600985,0.880271467,1,1.119728533,1,
82.75862069,0.838426828,1,1.161573172,1,
83.25123153,0.860355627,1,1.139644373,1,
83.74384236,0.916812193,1,1.083187807,1,
84.2364532,0.964641616,1,1.035358384,1,
84.72906404,0.965001239,1,1.034998761,1,
85.22167488,0.950580026,1,0.049419974,0,
85.71428571,0.874482182,1,0.125517818,0,
86.20689655,0.73487627,1,0.26512373,0,
86.69950739,0.600517544,1,0.399482456,0,
87.19211823,0.558953429,1,0.441046571,0,
87.68472906,0.59440721,1,0.40559279,0,
88.1773399,0.665908218,1,0.334091782,0,
88.66995074,0.69938717,1,0.30061283,0,
89.16256158,0.671649151,1,0.328350849,0,
89.65517241,0.612070823,1,0.387929177,0,
90.14778325,0.564533751,1,0.435466249,0,
90.64039409,0.56373745,1,0.43626255,0,
91.13300493,0.575352271,1,0.424647729,0,
91.62561576,0.59409092,1,0.40590908,0,
92.1182266,0.581683748,1,0.418316252,0,
92.61083744,0.55655686,1,0.44344314,0,
93.10344828,0.541034429,1,0.458965571,0,
93.59605911,0.544569846,1,0.455430154,0,
94.08866995,0.546614109,1,0.453385891,0,
94.58128079,0.535737504,1,0.464262496,0,
95.07389163,0.526945288,1,0.473054712,0,
95.56650246,0.524890846,1,0.475109154,0,
96.0591133,0.523960404,1,0.476039596,0,
96.55172414,0.517584568,1,0.482415432,0,
97.04433498,0.514300163,1,0.485699837,0,
97.53694581,0.51305687,1,0.48694313,0,
98.02955665,0.511057656,1,0.488942344,0,
98.52216749,0.508279043,1,0.491720957,0,
99.01477833,0.506938268,1,0.493061732,0,
99.50738916,0.504848765,1,0.495151235,0,
100,0.504134316,1,0.495865684,0,
